ADDRESS,ENS_NAME,ACTIVITY,AUM,ANT,SCORE
0xB79897d5557e388f1Cbfa4bCBd7e38b7489AAb9e,bitcode.aragonid.eth,34,4.491546164201135,0,0.0014199616697080327
0x77d1F6460063168DE967d1e4AC3A930e06515dc8,associationboard.aragonid.eth,30,0,0,0.0012527142141306163
0x0163C547B4aBd1672E213291cc62582c357868FE,2001.aragonid.eth,28,5.283503434081787,0,0.001169457422600495
0x366191016B4C850EE0A338cAf857d11E0AD46B54,fundraiser.aragonid.eth,27,0,0,0.0011274427927175548
0x65913c1EEEFE07040f6289E2DA544f480d8f2a9C,stablecoinsmarket.aragonid.eth,26,68.60086234444958,0,0.0010890288876437724
0xa26A95daD706533a364f618534A5f8a048486Eba,what.aragonid.eth,26,10.567006868163574,0,0.0010862006310703735
0xd924B49499c0441A7eD5166e38E55311fD95e6Dd,18638a526a.aragonid.eth,26,0,0,0.0010856856522465342
0x3983245C5Fdb967F5799A5F3b14a1987a39f637E,autark.aragonid.eth,26,0,0,0.0010856856522465342
0xF376126B85F0DA8fa273E8aCaa6a0d3232A823d5,splunk.aragonid.eth,26,0,0,0.0010856856522465342
0xF95aEAADc21d0A0Ad51f29a01ECB226453210Cd0,romagnachain.aragonid.eth,25,0,0,0.0010439285117755136
0x37F70a5161cc7cCa39e2877457C00647353beE74,dappnode.aragonid.eth,24,132.08758585204467,0,0.001008608606602484
0xcD3d9b832BfF15E0a519610372c6AAC651872DdE,,24,12.532470145642,0,0.0010027821361895664
0x454Fc552C5E38206d2DA572C190686E7C4d01Eff,bittopia.aragonid.eth,24,0,0,0.001002171371304493
0x87069fA9543071D042aF6105479EA163f333422c,consensus.aragonid.eth,24,0,0,0.001002171371304493
0x5251fB0B3FaD70adf1c2153D4320eb73a7f2d531,alliancedao.aragonid.eth,23,0,0,0.0009604142308334725
0x67757A18eDA83125270Ef94dCec7658Eb39bD8a5,blankdao.aragonid.eth,17,5059.229168194892,0,0.0009564308839058416
0xdA9dC37161Bd201c06b94d605d05B6C9fF6d7C7e,,22,33.13401373632715,0,0.0009202718631771094
0x1FAB13C7Cad8d8314400007ad7875fF24D006070,sem.aragonid.eth,21,2,0,0.0008769974190859279
0xE1aA7Eb76fD5623BBD5c07B48012097b190bDD09,brightidres.aragonid.eth,21,0.11,0,0.0008769053106971288
0x45649A86C50Fbb28834bd78d6d8525B32A2b0027,kingston.aragonid.eth,20,113.4262928598146,0,0.0008406705941202942
0xb788256177F8398babdDb1118bc4aa0557Ed8c65,mydaodashboard.aragonid.eth,18,1643.8758585204466,0,0.0008317421563694575
0x6481778245c9fCd2592Dd9FBcc540Dd60531b52E,mayuyaland1.aragonid.eth,19,0.26417517170408933,0,0.0007933985434199863
0xF0908d714e0F09E882F9E33634A0FBDc8B85D16b,buildao.aragonid.eth,18,23.775765453368038,0,0.0007527872308320082
0x5263E81450a47F66E11D86751bD9EB655F8801e5,ohana.aragonid.eth,18,0,0,0.0007516285284783699
0xb820DbcD14dE2005C7279C6c2505A34A4516D60d,radspec.aragonid.eth,17,201.41751717040893,0,0.0007196873895853883
0xfc093C061d8E16fF7522a126705c9e1202377E8B,expdao.aragonid.eth,17,0.1,0,0.0007098762614670741
0x657686fBe3F2Ff0366E85902801D5e07A6d7a120,yamatokoku.aragonid.eth,17,0,0,0.0007098713880073493
0x8f3DE2AeAc5A6169ef03754c43900e4a05b0ADC8,matrix.aragonid.eth,17,0,0,0.0007098713880073493
0xFE1f2De598f42Ce67Bb9Aad5aD473F0272d09b74,,16,5.283503434081787,0,0.0006683717369482484
0xbdc76C6543B12AC1853d57EF46b99116b32ffe30,themis.aragonid.eth,15,26.417517170408935,0,0.0006276445541249063
0x2f68B02449841af560a245023FDea47D600Ddcf5,freedom.aragonid.eth,15,7.92525515112268,0,0.0006267433411831876
0x65CA9534923a43315b24C4EDA99061072BfdE29f,fol.aragonid.eth,15,2.6417517170408935,0,0.000626485851771268
0x13EC2192eD86DD518Ee5Cf3702313FAB922246d2,bchai.aragonid.eth,15,0,0,0.0006263571070653081
0xf5d83923C362068C44F70ad9038793d559A17289,blockaid.aragonid.eth,14,2,0,0.0005846974357887841
0x72F86c03eA442f49784eA18110aA14f7b751663E,brightidseed.aragonid.eth,14,0,0,0.0005845999665942877
0x92796031303B5431672b5364ACDfEae782Cefbb7,m2.aragonid.eth,14,0,0,0.0005845999665942877
0x64723D95751A73e6316d7248c9259BBfeA2F7C5D,,14,0,0,0.0005845999665942877
0x592B213bf0176c1f3b2a6F5EfE632eAC4b5453EE,committees.aragonid.eth,12,902.5274888514772,0,0.0005450699993268827
0x5EEd3C88c66F1B24016c0beD68c8cef427F576f2,socrico.aragonid.eth,13,39.6262757556134,0,0.0005447739967126644
0x8d78De2c03406e2b37FE65DB57b3Be4e8063831d,,13,5.013484550891441,0,0.0005430871562736651
0xC63cd8A583a03db0e7457cb2ea8e2181C919eCD0,zalupaproject.aragonid.eth,13,0.0026417517170408936,0,0.0005428429548679731
0xA323B631F3fEE1471c8D520AE48DAE907Ffe6Ff0,matrixvoting.aragonid.eth,12,79.2525515112268,0,0.000504948026831041
0x2e94E7cf107489013641C2056b85e13606d824fC,buidl.aragonid.eth,12,61.954214899189886,0,0.000504104999363189
0x84aB9D23ca5b77e1A489C5622D72cBE2df77B89c,liberty.aragonid.eth,12,35.47175963859705,5,0.0005034313072151959
0xDDFCEBf50cab270C4c8985904Fdf756658055ab3,empowerthedao.aragonid.eth,12,1.002696910178288,0,0.0005011345516823261
0x68E254831A1C2a5957582915411d297eB660be4b,solarfamily.aragonid.eth,12,0,0,0.0005010856856522465
0x81Ed18582237895f91309432FA014fcb93b1161f,guild.aragonid.eth,12,0,0,0.0005010856856522465
0xc467e2d2D62bCf4F597EC5C9d43aB05AA31df614,blvd.aragonid.eth,11,0,0,0.000459328545181226
0x3b2667f1C495632B7F4b569588B67bd951dd8124,justice.aragonid.eth,11,0,0,0.000459328545181226
